Employee_ID,Name,Department,Designation,Month,Monthly_Sales,Monthly_Customer_Feedback_Score
1,Samuel Fischer,Sales,Sales Trainee,January,2564,7.5
1,Samuel Fischer,Sales,Sales Trainee,February,3383,6.7
1,Samuel Fischer,Sales,Sales Trainee,March,3054,7.8
1,Samuel Fischer,Sales,Sales Trainee,April,2814,7.7
1,Samuel Fischer,Sales,Sales Trainee,May,2755,7.5
1,Samuel Fischer,Sales,Sales Trainee,June,3059,8.7
1,Samuel Fischer,Sales,Sales Trainee,July,3224,6.9
1,Samuel Fischer,Sales,Sales Trainee,August,2783,8.1
1,Samuel Fischer,Sales,Sales Trainee,September,2963,8.1
1,Samuel Fischer,Sales,Sales Trainee,October,2884,6.6
1,Samuel Fischer,Sales,Sales Trainee,November,3468,7.4
1,Samuel Fischer,Sales,Sales Trainee,December,2945,8.3
2,Alessia Weber,Sales,Sales Manager,January,6157,8.0
2,Alessia Weber,Sales,Sales Manager,February,7009,8.7
2,Alessia Weber,Sales,Sales Manager,March,6098,8.4
2,Alessia Weber,Sales,Sales Manager,April,7234,7.8
2,Alessia Weber,Sales,Sales Manager,May,6279,9.7
2,Alessia Weber,Sales,Sales Manager,June,5870,8.5
2,Alessia Weber,Sales,Sales Manager,July,5717,9.2
2,Alessia Weber,Sales,Sales Manager,August,5941,9.2
2,Alessia Weber,Sales,Sales Manager,September,7067,8.3
2,Alessia Weber,Sales,Sales Manager,October,7011,9.5
2,Alessia Weber,Sales,Sales Manager,November,7015,8.2
2,Alessia Weber,Sales,Sales Manager,December,6216,8.7
3,Emma Fuchs,Sales,Sales Executive,January,4587,7.5
3,Emma Fuchs,Sales,Sales Executive,February,5422,8.7
3,Emma Fuchs,Sales,Sales Executive,March,5406,8.5
3,Emma Fuchs,Sales,Sales Executive,April,5007,9.5
3,Emma Fuchs,Sales,Sales Executive,May,4141,9.6
3,Emma Fuchs,Sales,Sales Executive,June,4757,9.7
3,Emma Fuchs,Sales,Sales Executive,July,5273,9.0
3,Emma Fuchs,Sales,Sales Executive,August,5001,8.3
3,Emma Fuchs,Sales,Sales Executive,September,5049,9.6
3,Emma Fuchs,Sales,Sales Executive,October,4077,8.7
3,Emma Fuchs,Sales,Sales Executive,November,5243,9.4
3,Emma Fuchs,Sales,Sales Executive,December,4269,8.8
4,Julia Schneider,Sales,Sales Executive,January,5598,8.9
4,Julia Schneider,Sales,Sales Executive,February,4282,9.7
